libcell_name,func_id,libcell_area,worst_input_cap,libcell_leakage,fo4_delay,fix_load_delay
AO331x1_ASAP7_75t_R,16,145800,6.685079951866885e-16,1.262430021631289e-10,3.196158268603533e-11,3.2833284702160626e-11
AO331x2_ASAP7_75t_R,16,160380,6.675379836434047e-16,1.4568699024941623e-10,3.2870185739941604e-11,3.3488930378799964e-11
AO332x1_ASAP7_75t_R,17,160380,6.548130076768034e-16,1.1309999464748088e-10,3.46714011667526e-11,3.561466746515585e-11
AO332x2_ASAP7_75t_R,17,174960,6.538749716272785e-16,1.3254400355044993e-10,3.549330274132956e-11,3.615275787072214e-11
AO333x1_ASAP7_75t_R,18,174960,6.509490021901069e-16,1.1095999813415247e-10,3.830475867050431e-11,3.922508151621429e-11
AO333x2_ASAP7_75t_R,18,189540,6.506250120877821e-16,1.3040400703712152e-10,3.905642476098592e-11,3.971362128041278e-11
AO33x2_ASAP7_75t_R,19,145800,5.793610068012848e-16,9.934850164761144e-11,3.083636471168383e-11,3.199806045128817e-11
AOI211x1_ASAP7_75t_R,20,174960,1.0596800392669004e-15,0.0,2.2278449918200494e-11,1.8562226408724847e-11
AOI211xp5_ASAP7_75t_R,20,87480,5.707670105184427e-16,0.0,2.4408069315695613e-11,2.885395047891315e-11
AOI21x1_ASAP7_75t_R,21,116640,1.2416199634800455e-15,0.0,1.7030375373816575e-11,1.1543654920842528e-11
AOI21xp33_ASAP7_75t_R,21,72900,4.850040246364383e-16,0.0,1.8406571405948924e-11,2.57953901294794e-11
AOI21xp5_ASAP7_75t_R,21,72900,6.003360307345839e-16,0.0,1.64623956827592e-11,1.83883689525155e-11
AOI221x1_ASAP7_75t_R,22,204120,9.780579327662263e-16,0.0,2.4590487632258906e-11,1.98427507064336e-11
AOI221xp5_ASAP7_75t_R,23,102060,5.6847800985760635e-16,0.0,2.4165797835040692e-11,2.924019706918024e-11
AOI222xp33_ASAP7_75t_R,24,145800,5.700740316884703e-16,0.0,2.792218539715563e-11,3.1373233871923034e-11
AOI22x1_ASAP7_75t_R,25,145800,1.334960029652154e-15,0.0,1.8492422870775016e-11,1.325620082454071e-11
AOI22xp33_ASAP7_75t_R,25,87480,4.657919939037307e-16,0.0,1.8685204425383795e-11,2.7042328445969765e-11
AOI22xp5_ASAP7_75t_R,25,87480,6.477770226213171e-16,0.0,1.7664522622418133e-11,1.992744684542469e-11
AOI311xp33_ASAP7_75t_R,26,102060,6.189910314253534e-16,0.0,2.804330899441876e-11,3.027164283131434e-11
AOI31xp33_ASAP7_75t_R,27,87480,5.481609717056463e-16,0.0,2.3886918484872233e-11,2.817388683462596e-11
AOI31xp67_ASAP7_75t_R,27,189540,1.2509200676035425e-15,0.0,2.2301945012959123e-11,1.4176490710504641e-11
AOI321xp33_ASAP7_75t_R,28,116640,6.064040159500361e-16,0.0,2.9424029185376455e-11,3.2024126406238196e-11
AOI322xp5_ASAP7_75t_R,29,131220,6.108530035659301e-16,0.0,3.126710348966277e-11,3.3711096414368313e-11
AOI32xp33_ASAP7_75t_R,30,102060,5.465609794078421e-16,0.0,2.6184002882567725e-11,3.0526234318095646e-11
AOI331xp33_ASAP7_75t_R,31,131220,6.683419767290267e-16,0.0,3.223625186232759e-11,3.4726440473198394e-11
AOI332xp33_ASAP7_75t_R,32,145800,6.531079832935397e-16,0.0,3.4416174771179087e-11,3.699885883778897e-11
AOI333xp33_ASAP7_75t_R,33,160380,6.522810144392235e-16,0.0,3.8875555552486674e-11,3.983472232627072e-11
AOI33xp33_ASAP7_75t_R,34,116640,5.5583498432865185e-16,0.0,2.6800301561324957e-11,3.29487652439564e-11
BUFx10_ASAP7_75t_R,35,204120,1.3353999573891343e-15,2.8601998547372887e-10,1.4043040168221221e-11,1.306388504318523e-11
BUFx12_ASAP7_75t_R,35,233280,1.3362199911611948e-15,3.2490798940187915e-10,1.5471769698738314e-11,1.4549837029642632e-11
BUFx12f_ASAP7_75t_R,35,262440,2.6017500006763348e-15,4.164840139431192e-10,1.205163226158934e-11,9.73241452706386e-12
BUFx16f_ASAP7_75t_R,35,320760,2.5975000128634863e-15,4.942619646897128e-10,1.3468881392142418e-11,1.1749400063987281e-11
BUFx24_ASAP7_75t_R,35,437400,2.6073501590071066e-15,6.498159788037583e-10,1.653021643177599e-11,1.5176854564757924e-11
BUFx2_ASAP7_75t_R,35,72900,5.770419894103802e-16,6.941600072529752e-11,1.308675043332208e-11,1.3743286890466333e-11
BUFx3_ASAP7_75t_R,35,87480,6.935129901247867e-16,1.041210034857798e-10,1.2052202985612936e-11,1.2008409891461902e-11
BUFx4_ASAP7_75t_R,35,102060,5.819660036910062e-16,1.0830499691527606e-10,1.695727933070934e-11,1.731480236966121e-11
BUFx4f_ASAP7_75t_R,35,116640,1.0899499263073353e-15,1.3883200145059504e-10,1.2252202724605255e-11,1.1022954250761163e-11
BUFx5_ASAP7_75t_R,35,116640,6.936000227601171e-16,1.4300999273686443e-10,1.4461269855214898e-11,1.4432691153309918e-11
BUFx6f_ASAP7_75t_R,35,145800,1.3331600846392387e-15,2.082420069715596e-10,1.135004937258266e-11,9.87631244148135e-12
BUFx8_ASAP7_75t_R,35,174960,9.382030208946617e-16,2.1660899462982997e-10,1.555830464461394e-11,1.5096889016685822e-11
CKINVDCx10_ASAP7_75t_R,36,349920,6.6842499654576944e-15,0.0,9.801764434824722e-12,2.9122693839811475e-12
CKINVDCx11_ASAP7_75t_R,36,379080,7.534059910229568e-15,0.0,1.030066310026001e-11,3.0039070189613604e-12
CKINVDCx12_ASAP7_75t_R,36,379080,7.997259877435582e-15,0.0,1.0173015208003733e-11,3.0356413997095766e-12
CKINVDCx14_ASAP7_75t_R,36,408240,9.303439739243285e-15,0.0,1.0840749305185415e-11,3.231452865709583e-12
CKINVDCx16_ASAP7_75t_R,36,437400,1.0558800165314571e-14,0.0,1.0420776221098382e-11,3.107686850911673e-12
CKINVDCx20_ASAP7_75t_R,36,554040,1.3225600390515905e-14,0.0,1.2124073446584394e-11,3.4603914785685808e-12
CKINVDCx5p33_ASAP7_75t_R,36,320760,4.045029980051908e-15,0.0,1.0063887223576984e-11,3.4766480059428284e-12
CKINVDCx6p67_ASAP7_75t_R,36,349920,4.947209854370147e-15,0.0,1.0363970098792308e-11,3.304512262783388e-12
CKINVDCx8_ASAP7_75t_R,36,320760,5.398589900313701e-15,0.0,9.419474748806334e-12,3.0489692801755064e-12
CKINVDCx9p33_ASAP7_75t_R,36,408240,6.780630032877499e-15,0.0,1.0808442682530561e-11,3.4409189907103066e-12
DECAPx10_ASAP7_75t_R,37,320760,NaN,NaN,NaN,NaN
DECAPx1_ASAP7_75t_R,38,58320,NaN,NaN,NaN,NaN
DECAPx2_ASAP7_75t_R,39,87480,NaN,NaN,NaN,NaN
DECAPx2b_ASAP7_75t_R,40,87480,NaN,NaN,NaN,NaN
DECAPx4_ASAP7_75t_R,41,145800,NaN,NaN,NaN,NaN
DECAPx6_ASAP7_75t_R,42,204120,NaN,NaN,NaN,NaN
DFFASRHQNx1_ASAP7_75t_R,43,379080,1.1644599206663887e-15,2.143839966661787e-10,4.141130147128358e-11,4.458219904357463e-11
DFFHQNx1_ASAP7_75t_R,44,291600,6.213500181834566e-16,1.6299299410160728e-10,3.7932549462604825e-11,4.0444685794893687e-11
DFFHQNx2_ASAP7_75t_R,44,306180,6.215529884534424e-16,1.8243699606568242e-10,4.020224778078507e-11,4.203940320857136e-11
DFFHQNx3_ASAP7_75t_R,44,320760,6.216409740008384e-16,2.0188199723047973e-10,4.584456078648991e-11,4.73079908580587e-11
DFFHQx4_ASAP7_75t_R,45,364500,6.212170340107377e-16,2.9374300214435323e-10,4.686981358581477e-11,4.755806859435552e-11
DFFLQNx1_ASAP7_75t_R,46,291600,6.206169641071672e-16,1.2011200367645358e-10,4.0071241463879304e-11,4.2630600438631205e-11
DFFLQNx2_ASAP7_75t_R,46,306180,6.206979616327484e-16,1.3955700484125089e-10,4.212312443296895e-11,4.39377527416962e-11
DFFLQNx3_ASAP7_75t_R,46,320760,6.205780005915935e-16,1.5900100680532603e-10,4.7208296299894315e-11,4.866100231093462e-11
DFFLQx4_ASAP7_75t_R,47,364500,6.207090260006219e-16,2.835220114238979e-10,4.8892164622449386e-11,4.942910317162763e-11
DHLx1_ASAP7_75t_R,48,218700,6.193840017733202e-16,1.1562899943085014e-10,2.8287578876518005e-11,3.0300279646455763e-11
DHLx2_ASAP7_75t_R,48,233280,6.191960133985889e-16,1.3507299445603138e-10,2.7800574342595752e-11,2.9045543747940883e-11
DHLx3_ASAP7_75t_R,48,247860,6.195049686660999e-16,1.545180094986165e-10,2.947785418538906e-11,3.04529006178722e-11
DLLx1_ASAP7_75t_R,49,218700,6.262810204858975e-16,1.216910044954389e-10,3.207186946574403e-11,3.3874458793548e-11
DLLx2_ASAP7_75t_R,49,233280,6.260610036778482e-16,1.411360056602362e-10,3.249195010268657e-11,3.3690709944078634e-11
DLLx3_ASAP7_75t_R,49,247860,6.240019724621914e-16,1.6058000762431135e-10,3.4102547175063336e-11,3.509315754657294e-11
FAx1_ASAP7_75t_R,50,204120,2.1764299821462434e-15,0.0,7.814118102578149e-11,3.94421162397407e-11
FILLER_ASAP7_75t_R,51,29160,NaN,NaN,NaN,NaN
FILLERxp5_ASAP7_75t_R,52,14580,NaN,NaN,NaN,NaN
HAxp5_ASAP7_75t_R,53,131220,1.0640499881209037e-15,0.0,3.774729140371136e-11,2.8604620408434478e-11
HB1xp67_ASAP7_75t_R,35,58320,3.383590104233142e-16,2.8231500470710102e-11,1.4536054651625996e-11,2.0118988072748145e-11
HB2xp67_ASAP7_75t_R,35,72900,5.170410341630825e-16,2.385079980737892e-11,2.672930626834713e-11,2.941493229546843e-11
HB3xp67_ASAP7_75t_R,35,87480,6.60731968033098e-16,2.3137599475253623e-11,4.042361584355447e-11,4.083210505823054e-11
HB4xp67_ASAP7_75t_R,35,102060,8.018890028414023e-16,2.2892699888532597e-11,5.54242624017931e-11,5.3398271915305884e-11
ICGx1_ASAP7_75t_R,54,262440,2.3934800572977897e-15,2.2901300300581795e-10,1.1703808061591658e-11,1.4016265578731257e-11
ICGx2_ASAP7_75t_R,54,277020,2.3922601180955067e-15,2.484570049698931e-10,1.0184647396271895e-11,1.1530673117710055e-11
ICGx2p67DC_ASAP7_75t_R,54,699840,6.53187974967496e-15,5.112800183226796e-10,3.2840404007306034e-11,9.880924203842234e-12
ICGx3_ASAP7_75t_R,54,291600,2.392990048737803e-15,2.6790100693396823e-10,1.0666014946258962e-11,1.1700512086987302e-11
ICGx4DC_ASAP7_75t_R,54,699840,6.5249298443427386e-15,5.371980082991001e-10,2.4731043601899927e-11,9.055260014045885e-12
ICGx4_ASAP7_75t_R,54,306180,2.3905800282446278e-15,2.8734600809876554e-10,1.1331434054961953e-11,1.222714030718608e-11
ICGx5_ASAP7_75t_R,54,320760,2.3899600001272376e-15,3.067900100628407e-10,1.2480375240209174e-11,1.3257980650827061e-11
ICGx5p33DC_ASAP7_75t_R,54,699840,6.5314397160588615e-15,5.631159982755207e-10,2.062547702075257e-11,8.559761406623512e-12
ICGx6p67DC_ASAP7_75t_R,54,699840,6.53187974967496e-15,5.890330445623704e-10,1.849628436523254e-11,8.48775910666788e-12
ICGx8DC_ASAP7_75t_R,54,699840,6.531700178690142e-15,6.149509790276397e-10,1.7136569940845447e-11,8.506639836980412e-12
INVx11_ASAP7_75t_R,36,189540,7.0339199891608466e-15,0.0,9.34542981195774e-12,3.1535000305504823e-12
INVx13_ASAP7_75t_R,36,218700,8.300959305508875e-15,0.0,9.841880782568424e-12,3.139238435173608e-12
INVx1_ASAP7_75t_R,36,43740,6.837159952986067e-16,0.0,8.900522679988754e-12,8.900522679988754e-12
INVx2_ASAP7_75t_R,36,58320,1.3204499317492143e-15,0.0,8.418038835444897e-12,4.975896431003157e-12
INVx3_ASAP7_75t_R,36,72900,1.9594499989710823e-15,0.0,8.342396218274928e-12,3.966072695954503e-12
INVx4_ASAP7_75t_R,36,87480,2.5933002117527627e-15,0.0,8.298457407351911e-12,3.4787112426770683e-12
INVx5_ASAP7_75t_R,36,102060,3.228420126922377e-15,0.0,8.477055862821103e-12,3.3154971823545765e-12
INVx6_ASAP7_75t_R,36,116640,3.8665300683957994e-15,0.0,8.541774058901108e-12,2.8928550093593186e-12
INVx8_ASAP7_75t_R,36,145800,5.1213898979952585e-15,0.0,8.792192668360954e-12,2.9478177711317333e-12
INVxp33_ASAP7_75t_R,36,43740,2.968530195793142e-16,0.0,1.1465462260162873e-11,2.3622818978719096e-11
INVxp67_ASAP7_75t_R,36,43740,4.855009682786806e-16,0.0,9.500379649640678e-12,1.2637522105174437e-11
MAJIxp5_ASAP7_75t_R,55,102060,1.2138299771509344e-15,0.0,2.401861522172144e-11,2.5006913206837567e-11
MAJx2_ASAP7_75t_R,56,131220,1.220150007607754e-15,2.256900083486002e-10,2.515373326295034e-11,2.5464625200144475e-11
MAJx3_ASAP7_75t_R,56,145800,1.2254099763310848e-15,2.9312399729697347e-10,2.7737557042883942e-11,2.798497891753904e-11
NAND2x1_ASAP7_75t_R,57,87480,1.0628999291367692e-15,0.0,1.7816423683592042e-11,1.3203270941841705e-11
NAND2x1p5_ASAP7_75t_R,57,116640,1.641530052383692e-15,0.0,1.595946638732748e-11,9.128598051078018e-12
NAND2x2_ASAP7_75t_R,57,145800,2.1830999430893974e-15,0.0,1.743201416548601e-11,8.922144273393329e-12
NAND2xp33_ASAP7_75t_R,57,58320,3.708249891981835e-16,0.0,1.758092629811081e-11,2.9055407385625287e-11
NAND2xp5_ASAP7_75t_R,57,58320,5.641689944362461e-16,0.0,1.307277203155266e-11,1.578994747453155e-11
NAND2xp67_ASAP7_75t_R,57,87480,8.064709746300153e-16,0.0,2.0114921880920456e-11,1.7881352648574378e-11
NAND3x1_ASAP7_75t_R,58,160380,1.3903600078090847e-15,0.0,2.5469414771661647e-11,1.681320534185904e-11
NAND3x2_ASAP7_75t_R,58,291600,2.832329944852611e-15,0.0,2.6010037873502867e-11,1.2605849523950052e-11
NAND3xp33_ASAP7_75t_R,58,72900,5.558059734502084e-16,0.0,2.045280611540079e-11,2.381285967023583e-11
NAND4xp25_ASAP7_75t_R,59,87480,5.546180097416842e-16,0.0,2.833528203738389e-11,3.277335000606563e-11
NAND4xp75_ASAP7_75t_R,59,204120,1.6042300036392832e-15,0.0,2.8583102898438462e-11,1.7565282561804452e-11
NAND5xp2_ASAP7_75t_R,60,102060,5.504140264057835e-16,0.0,3.606479004325536e-11,4.1739639522475613e-11
NOR2x1_ASAP7_75t_R,61,87480,1.0873700757082355e-15,0.0,1.699796206566795e-11,1.2715408587160582e-11
NOR2x1p5_ASAP7_75t_R,61,116640,1.6439700366673764e-15,0.0,1.7353337516956557e-11,9.94199427645226e-12
NOR2x2_ASAP7_75t_R,61,145800,2.1929299722005203e-15,0.0,1.6631666530098066e-11,8.512193554188752e-12
NOR2xp33_ASAP7_75t_R,61,58320,3.7268200305592015e-16,0.0,1.6859180718142852e-11,2.8802181126219573e-11
NOR2xp67_ASAP7_75t_R,61,87480,8.101099869900973e-16,0.0,1.90769379460054e-11,1.7246953865068804e-11
NOR3x1_ASAP7_75t_R,62,160380,1.4109900246350553e-15,0.0,2.41672341860788e-11,1.5124772961838673e-11
NOR3x2_ASAP7_75t_R,62,291600,2.8530600174454758e-15,0.0,2.373411363276734e-11,1.1099012334203628e-11
NOR3xp33_ASAP7_75t_R,62,72900,5.573319562442462e-16,0.0,2.8017867539920083e-11,3.260398201421211e-11
NOR4xp25_ASAP7_75t_R,63,87480,5.566959933195358e-16,0.0,3.972405737684426e-11,4.587164675884381e-11
NOR4xp75_ASAP7_75t_R,63,204120,1.6098899836719549e-15,0.0,3.957243560614998e-11,2.4137459392337135e-11
NOR5xp2_ASAP7_75t_R,64,102060,5.538770147315143e-16,0.0,5.1454642630011094e-11,5.932526692120632e-11
O2A1O1Ixp33_ASAP7_75t_R,65,87480,6.146950391355572e-16,0.0,2.566772662471184e-11,2.8373388707980673e-11
O2A1O1Ixp5_ASAP7_75t_R,66,116640,9.728909259088567e-16,0.0,2.583997078808853e-11,2.055638818887484e-11
OA211x2_ASAP7_75t_R,67,116640,5.704190387957988e-16,9.566459430176977e-11,2.707171119220586e-11,2.821650552098376e-11
OA21x2_ASAP7_75t_R,68,102060,6.484900126046684e-16,9.907330511538248e-11,1.7709471042404168e-11,1.8161663145610518e-11
OA221x2_ASAP7_75t_R,69,233280,1.0250100278237162e-15,1.0436599501284505e-10,2.971440107857326e-11,2.796693779338888e-11
OA222x2_ASAP7_75t_R,70,174960,6.528479971182918e-16,9.989880450644861e-11,2.7926836190794724e-11,2.8193917686603065e-11
OA22x2_ASAP7_75t_R,71,145800,6.495910495569806e-16,1.0417899876102865e-10,1.9487716995669757e-11,1.9996148833967275e-11
OA31x2_ASAP7_75t_R,72,218700,1.1586899322296924e-15,1.2674600258222313e-10,2.4519584279625306e-11,2.2690188269947065e-11
OA331x1_ASAP7_75t_R,73,145800,6.69695005983147e-16,5.524340013218776e-11,3.12137815594582e-11,3.22934561036714e-11
OA331x2_ASAP7_75t_R,73,160380,6.678779614926089e-16,7.468759638529221e-11,3.2029223023810616e-11,3.27409800660039e-11
OA332x1_ASAP7_75t_R,74,160380,6.54797019929924e-16,8.362229658720466e-11,3.364317505138992e-11,3.471124429554884e-11
OA332x2_ASAP7_75t_R,74,174960,6.546630299055802e-16,1.030669993795641e-10,3.4381365809910136e-11,3.510470039658209e-11
OA333x1_ASAP7_75t_R,75,174960,6.549660030029012e-16,1.1095999813415247e-10,3.730878800345394e-11,3.769545092735527e-11
OA333x2_ASAP7_75t_R,75,189540,6.540179613766868e-16,1.3040400703712152e-10,3.766542980288001e-11,3.793632422088855e-11
OA33x2_ASAP7_75t_R,76,145800,6.488839888042601e-16,1.3682499577782892e-10,3.045374369348153e-11,3.134734832821451e-11
OAI211xp5_ASAP7_75t_R,77,87480,5.697960460630932e-16,0.0,2.2603465973936032e-11,2.7302757277247736e-11
OAI21x1_ASAP7_75t_R,78,116640,1.378890017032959e-15,0.0,1.725610106195763e-11,1.160558021212621e-11
OAI21xp33_ASAP7_75t_R,78,72900,4.657989819255456e-16,0.0,1.7857437750734562e-11,2.5323665039933552e-11
OAI21xp5_ASAP7_75t_R,78,72900,6.479370059692298e-16,0.0,1.6642902334051968e-11,1.8141255858639127e-11
OAI221xp5_ASAP7_75t_R,79,102060,5.676959866890538e-16,0.0,2.583095022601345e-11,3.072899226741477e-11
OAI222xp33_ASAP7_75t_R,80,145800,6.547880202048594e-16,0.0,2.5557890873106892e-11,2.6218501328334476e-11
OAI22x1_ASAP7_75t_R,81,145800,1.335190104976452e-15,0.0,1.817787413649352e-11,1.3080379661356556e-11
OAI22xp33_ASAP7_75t_R,81,87480,4.890129786362337e-16,0.0,2.0178634804746132e-11,2.696390333234433e-11
OAI22xp5_ASAP7_75t_R,81,87480,6.482139857429819e-16,0.0,1.8133577972534454e-11,1.9718523688871947e-11
OAI311xp33_ASAP7_75t_R,82,102060,6.187189750306071e-16,0.0,2.8469081259085982e-11,3.04370868786652e-11
OAI31xp33_ASAP7_75t_R,83,87480,5.499410114443012e-16,0.0,2.297589896116392e-11,2.7011783435004766e-11
OAI31xp67_ASAP7_75t_R,83,189540,1.242249944234566e-15,0.0,2.633700549314888e-11,1.7845431729557326e-11
OAI321xp33_ASAP7_75t_R,84,116640,6.063860164999069e-16,0.0,2.9958670960672507e-11,3.2301928493128074e-11
OAI322xp33_ASAP7_75t_R,85,131220,6.116619729701171e-16,0.0,3.225043843091413e-11,3.4443305846343364e-11
OAI32xp33_ASAP7_75t_R,86,102060,5.327450250051772e-16,0.0,2.450554342781075e-11,2.9062795572909472e-11
OAI331xp33_ASAP7_75t_R,87,131220,6.683949692277893e-16,0.0,3.1800912597690356e-11,3.418641064678596e-11
OAI332xp33_ASAP7_75t_R,88,145800,6.537169999826155e-16,0.0,3.3820248684923726e-11,3.617999996818888e-11
OAI333xp33_ASAP7_75t_R,89,160380,6.531390058752329e-16,0.0,3.77248093874627e-11,3.865274419978526e-11
OAI33xp33_ASAP7_75t_R,90,116640,5.570279772953003e-16,0.0,2.399103658790036e-11,3.0161404623862964e-11
OR2x2_ASAP7_75t_R,91,87480,5.601419880467624e-16,2.43350006812193e-10,1.95701059524378e-11,2.06249548689863e-11
OR2x4_ASAP7_75t_R,91,116640,5.597879812143693e-16,3.7822101006668163e-10,2.5227989836063003e-11,2.5859238361736203e-11
OR2x6_ASAP7_75t_R,91,174960,1.0980700076561887e-15,6.215709613677234e-10,2.151400238514789e-11,2.018283110083452e-11
OR3x1_ASAP7_75t_R,92,87480,6.399400090955243e-16,3.109129897982399e-10,2.8745198929480686e-11,2.9356583136630476e-11
OR3x2_ASAP7_75t_R,92,102060,6.390420482923164e-16,3.7835298782873394e-10,3.072845103369026e-11,3.115594934821608e-11
OR3x4_ASAP7_75t_R,92,131220,6.381700278731181e-16,5.132320124445755e-10,3.927620034760437e-11,3.953245369947567e-11
OR4x1_ASAP7_75t_R,93,102060,6.419799820698679e-16,3.920750113461935e-10,3.69847832915049e-11,3.764425576813224e-11
OR4x2_ASAP7_75t_R,93,116640,6.418309572107104e-16,4.595190061795762e-10,3.991488389809561e-11,4.038671133632654e-11
OR5x1_ASAP7_75t_R,94,116640,5.561109582507791e-16,3.386400049265603e-10,4.362632824439494e-11,4.5750132848798586e-11
OR5x2_ASAP7_75t_R,94,131220,5.563250458281977e-16,4.0608399975994303e-10,4.776676276740943e-11,4.9268852886363845e-11
SDFHx1_ASAP7_75t_R,95,364500,1.1547299473221601e-15,2.071470078801596e-10,3.884815039101319e-11,4.135454131914962e-11
SDFHx2_ASAP7_75t_R,95,379080,1.1550400672599736e-15,2.2659099596644694e-10,4.028299221969789e-11,4.224736185887146e-11
SDFHx3_ASAP7_75t_R,95,393660,1.1552200617612651e-15,2.4603599713124424e-10,4.596431221748354e-11,4.753500371101893e-11
SDFHx4_ASAP7_75t_R,95,451980,1.331290047649938e-15,4.3481099276654334e-10,3.244742668995215e-11,3.242683899173926e-11
SDFLx1_ASAP7_75t_R,96,364500,1.4845900938505207e-15,1.6849299733223688e-10,4.012037924105982e-11,4.304885614647702e-11
SDFLx2_ASAP7_75t_R,96,379080,1.4916599602238971e-15,1.8793699929631202e-10,4.2408538486471414e-11,4.448772947251989e-11
SDFLx3_ASAP7_75t_R,96,393660,1.4901399596000493e-15,2.0738200046110933e-10,4.743506976101486e-11,4.910133757918267e-11
SDFLx4_ASAP7_75t_R,96,451980,1.3315400282484964e-15,3.2746899636393323e-10,3.339530041390759e-11,3.337038631534561e-11
TAPCELL_ASAP7_75t_R,97,29160,NaN,NaN,NaN,NaN
TAPCELL_WITH_FILLER_ASAP7_75t_R,98,43740,NaN,NaN,NaN,NaN
TIEHIx1_ASAP7_75t_R,99,43740,None,9.040960254752539e-13,None,None
TIELOx1_ASAP7_75t_R,100,43740,None,1.6536099746444766e-12,None,None
XNOR2x1_ASAP7_75t_R,101,174960,1.6521899620248874e-15,0.0,2.7133522859101866e-11,1.9608150172989447e-11
XNOR2x2_ASAP7_75t_R,101,160380,1.0545400315847245e-15,0.0,3.236184237254136e-11,2.985606900596238e-11
XNOR2xp5_ASAP7_75t_R,101,131220,1.0531300393649013e-15,0.0,3.169525406021556e-11,2.497698402270654e-11
XOR2x1_ASAP7_75t_R,102,174960,1.653009995796948e-15,2.9877700313818423e-10,3.1438608660838696e-11,2.1857475898667822e-11
XOR2x2_ASAP7_75t_R,102,160380,1.054390000873942e-15,3.246759805453081e-10,2.989719236068389e-11,2.8275238053709906e-11
XOR2xp5_ASAP7_75t_R,102,131220,1.0656199636886396e-15,1.7670799545843607e-10,3.8031536253591014e-11,2.8824701306384704e-11
DFFHQNH2V2Xx1_ASAP7_75t_L,103,1166400,5.76107023855289e-16,5.205369912886226e-9,3.557469596682239e-11,3.609341991950288e-11
DFFHQNH2V2Xx1_ASAP7_75t_R,103,1166400,5.76107023855289e-16,5.205369912886226e-9,3.557469596682239e-11,3.609341991950288e-11
